,Ticker
1660,MNY.AX
1661,MLMAB.PA
1662,MIG.AX
1663,MGAM.L
1664,MEDI.OL
1665,MDD.AX
1666,MAL.TO
1667,MAJJ
1668,MABA
1669,MAAL
1670,M6YA.DE
1671,LTR.AX
1672,LNNNF
1673,LNEGY
1674,LMFAW
1675,LIC.AX
1676,LIAB.ST
1677,LEDE.BA
1678,LCE.AX
1679,LBT.AX
1680,LAS-A.TO
1681,LALAB.MX
1682,AXL.TO
1683,LA.V
1684,KWA.V
1685,KUKAY
1686,KSB.DE
1687,KPC.AX
1688,KGM.AX
1689,KGL.AX
1690,KD8.DE
1691,KBC.L
1692,K1R.DE
1693,JYC.AX
1694,AWGI
1695,JM.ST
1696,J7X.SI
1697,ITAB-B.ST
1698,ISXIF
1699,ISSJY
1700,IPP.AX
1701,IPLO
1702,IPL.AX
1703,IPD.AX
1704,VC8.DE
1705,ILMCF
1706,IGO.AX
1707,AM.TO
1708,IAM.TO
1709,IALB
1710,HYDR.ME
1711,HXGCF
1712,HXGBY
1713,HUTN
1714,HUSQ-B.ST
1715,HOKCY
1716,HNB.OL
1717,HIPH
1718,HGKGY
1719,HGHAF
1720,HFA.AX
1721,HEXA-B.ST
1722,HENOY
1723,HCIIP
1724,HAW.AX
1725,GXY.AX
1726,GUD.AX
1727,GMG.AX
1728,TPET.L
1729,GEN.CO
1730,GEM.AX
1731,GELYY
1732,GEEK
1733,GCS.AX
1734,GCLA.BA
1735,GBA.AX
1736,GAP.AX
1737,GAHC
1738,G1A.DE
1739,FSJ.L
1740,FNMFN
1741,FNMAL
1742,FMG.AX
1743,FLYLF
1744,FGRPF
1745,FEEL.ST
1746,FASV
1747,EXAD
1748,EVTCY
1749,ETPHF
1750,ERCA.DE
1751,ERAO
1752,EOG.V
1753,EME.AX
1754,ELECW
1755,ELD.AX
1756,EFGXY
1757,ECO.AX
1758,ECAC
1759,DVI.AX
1760,DUO.AX
1761,DUE.AX
1762,DRX.TO
1763,APYP
1764,DPSGY
1765,DMP.AX
1766,DD-PB
1767,DATI
1768,CYAP
1769,CVO.AX
1770,CTP.AX
1771,CSL.AX
1772,CRYO
1773,CPPCY
1774,COP.DE
1775,COLAY
1776,COIC.ST
1777,COGLF
1778,CNLMW
1779,CMWAY
1780,CLC.TO
1781,CLACW
1782,LOGL
1783,CHCR
1784,SKYD.DE
1785,CDD.AX
1786,CDA.PA
1787,CCLAF
1788,CBAUF
1789,CAMB.L
